timestamp,connected_clients,cpu_percent,memory_mb,throughput_msgs_per_sec,avg_delay_ms
15:23:43,3,0.0,21.01,4,
15:23:44,4,0.0,21.01,0,
15:23:45,4,0.0,21.01,0,
15:23:46,4,0.0,21.01,0,
15:23:47,4,0.0,21.01,0,
15:23:48,4,0.0,21.01,0,0.18
15:23:50,4,0.0,21.01,0,
15:23:51,4,0.0,21.01,0,
15:23:52,4,0.0,21.01,0,
15:23:53,4,0.0,21.01,0,
15:23:54,4,0.0,21.01,0,
15:23:55,4,0.0,21.04,5,
15:23:56,5,0.0,21.04,0,
15:23:57,5,0.0,21.04,0,
15:23:58,5,0.0,21.04,0,
15:23:59,5,0.0,21.04,0,
15:24:00,5,0.0,21.04,0,
15:24:01,5,0.0,21.04,0,
15:24:02,5,0.0,21.04,0,
15:24:03,5,0.0,21.04,0,
15:24:04,5,1.0,21.04,0,0.19
15:24:05,5,0.0,21.04,0,
15:24:06,5,0.0,21.04,0,
15:24:07,5,0.0,21.04,0,
15:24:08,5,0.0,21.04,0,
15:24:09,5,0.0,21.04,0,
15:24:10,5,0.0,21.04,0,
15:24:11,5,0.0,21.04,0,
15:24:12,5,0.0,21.04,0,
15:24:13,5,0.0,21.04,0,
15:24:14,5,0.0,21.04,0,
15:24:15,5,0.0,21.04,0,
15:24:16,5,0.0,21.04,0,
15:24:17,5,0.0,21.04,0,
15:24:18,5,0.0,21.04,0,
15:24:19,5,0.0,21.07,6,1.34
15:24:20,6,0.0,21.07,0,
15:24:21,6,0.0,21.07,0,
15:24:22,6,0.0,21.07,0,
15:24:23,6,0.0,21.07,0,
15:24:24,6,0.0,21.07,0,
15:24:25,6,0.0,21.07,0,
15:24:26,6,0.0,21.07,0,
15:24:27,6,1.0,21.07,0,
15:24:28,6,0.0,21.07,0,
15:24:29,6,0.0,21.07,0,
15:24:30,6,0.0,21.07,0,
15:24:31,6,0.0,21.07,0,
15:24:32,6,0.0,21.07,0,
15:24:33,6,1.0,21.07,0,
15:24:34,6,0.0,21.07,0,2.57
15:24:35,6,0.0,21.09,0,
15:24:36,6,0.0,21.09,0,
15:24:37,6,0.0,21.09,0,
15:24:38,6,0.0,21.09,0,
15:24:39,6,0.0,21.09,0,
15:24:40,6,0.0,21.09,0,
15:24:41,6,0.0,21.09,0,
15:24:42,6,0.0,21.09,0,
15:24:43,6,0.0,21.09,0,
15:24:44,6,0.0,21.09,0,
15:24:45,6,0.0,21.09,7,
15:24:46,7,0.0,21.09,0,
15:24:47,7,0.0,21.09,0,
15:24:48,7,0.0,21.09,0,
15:24:49,7,0.0,21.1,0,1.93
15:24:50,7,0.0,21.1,0,
15:24:51,7,0.0,21.1,0,
15:24:52,7,0.0,21.1,0,
15:24:53,7,0.0,21.1,0,
15:24:54,7,0.0,21.1,0,
15:24:55,7,0.0,21.1,0,
15:24:56,7,0.0,21.1,0,
15:24:57,7,0.0,21.1,0,
15:24:58,7,0.0,21.1,0,
15:24:59,7,0.0,21.1,0,
15:25:00,7,0.0,21.12,8,
15:25:01,8,0.0,21.12,0,
15:25:02,8,0.0,21.12,0,
15:25:03,8,0.0,21.12,1,
15:25:04,8,1.0,21.12,0,1.46
15:25:05,8,0.0,21.12,0,
15:25:06,8,0.0,21.12,0,
15:25:07,8,0.0,21.12,0,
15:25:08,8,0.0,21.12,0,
15:25:09,8,0.0,21.12,0,
15:25:10,8,0.0,21.12,0,
15:25:11,8,0.0,21.12,0,
15:25:12,8,0.0,21.13,1,
15:25:13,8,0.0,21.13,0,
15:25:14,8,0.0,21.13,0,
15:25:15,8,0.0,21.13,0,
15:25:16,8,0.0,21.13,0,
15:25:17,8,0.0,21.13,0,
15:25:18,8,0.0,21.13,0,
15:25:19,8,0.0,21.14,1,1.2
15:25:20,8,0.0,21.14,0,
15:25:21,8,0.0,21.14,0,
15:25:22,8,0.0,21.14,0,
15:25:23,8,0.0,21.14,0,
15:25:24,8,0.0,21.14,0,
15:25:25,8,0.0,21.14,0,
15:25:26,8,0.0,21.14,1,
15:25:27,8,0.0,21.14,0,
15:25:28,8,0.0,21.14,0,
15:25:29,8,0.0,21.14,0,
15:25:30,8,0.0,21.14,0,
15:25:31,8,0.0,21.16,1,
15:25:32,8,0.0,21.16,0,
15:25:33,8,0.0,21.16,0,
15:25:34,8,0.0,21.16,0,1.34
15:25:35,8,0.0,21.16,0,
15:25:36,8,1.0,21.16,0,
15:25:37,8,0.0,21.16,0,
15:25:38,8,0.0,21.16,0,
15:25:39,8,0.0,21.16,0,
15:25:40,8,0.0,21.16,0,
15:25:41,8,0.0,21.16,0,
15:25:42,8,0.0,21.16,0,
15:25:43,8,0.0,21.16,0,
15:25:44,8,0.0,21.16,0,
15:25:45,8,0.0,21.16,0,
15:25:46,8,0.0,21.16,0,
15:25:47,8,0.0,21.16,0,
15:25:48,8,0.0,21.16,0,
15:25:49,8,0.0,21.16,0,3.37
15:25:50,8,0.0,21.16,0,
15:25:51,8,0.0,21.16,0,
15:25:52,8,0.0,21.16,0,
15:25:53,8,0.0,21.16,0,
15:25:54,8,0.0,21.16,0,
15:25:55,8,0.0,21.16,0,
15:25:56,8,0.0,21.16,0,
15:25:57,8,0.0,21.16,0,
15:25:58,8,0.0,21.16,0,
15:25:59,8,0.0,21.16,0,
15:26:00,8,0.0,21.16,0,
15:26:01,8,0.0,21.16,7,
15:26:02,7,0.0,21.16,0,
15:26:03,7,0.0,21.16,0,
15:26:04,7,1.0,21.16,0,1.02
15:26:05,7,0.0,21.16,0,
15:26:06,7,0.0,21.16,0,
15:26:07,7,0.0,21.16,0,
15:26:08,7,0.0,21.16,0,
15:26:09,7,0.0,21.16,0,
15:26:10,7,0.0,21.16,1,
15:26:11,7,0.0,21.16,0,
15:26:12,7,0.0,21.16,0,
15:26:13,7,0.0,21.16,0,
15:26:14,7,0.0,21.16,0,
15:26:15,7,1.0,21.17,1,
15:26:16,7,0.0,21.17,0,
15:26:17,7,0.0,21.17,0,
15:26:18,7,0.0,21.17,0,
15:26:19,7,0.0,21.17,0,1.35
15:26:20,7,0.0,21.18,1,
15:26:21,7,0.0,21.18,0,
15:26:22,7,0.0,21.18,0,
15:26:23,7,0.0,21.18,1,
15:26:24,6,1.0,21.18,5,
15:26:25,6,0.0,21.18,0,
15:26:26,6,0.0,21.18,0,
15:26:27,6,0.0,21.18,0,
15:26:28,6,0.0,21.18,0,
15:26:29,6,0.0,21.18,0,
15:26:30,6,0.0,21.18,0,
15:26:31,6,0.0,21.18,0,
15:26:32,6,0.0,21.18,0,
15:26:33,6,0.0,21.18,0,
15:26:34,6,0.0,21.18,0,0.71
15:26:35,6,0.0,21.18,0,
15:26:36,6,0.0,21.18,0,
15:26:37,6,0.0,21.18,0,
15:26:38,6,0.0,21.18,0,
15:26:39,6,0.0,21.18,0,
15:26:40,6,0.0,21.18,0,
15:26:41,6,0.0,21.18,0,
15:27:33,0,0.0,21.02,0,
15:27:34,0,0.0,21.1,0,
15:27:35,0,0.0,21.1,0,
15:27:36,0,0.0,21.1,0,
15:27:37,0,0.0,21.1,0,
15:27:38,0,0.0,21.1,0,
15:27:39,0,0.0,21.1,0,
15:27:40,0,0.0,21.1,0,
15:27:41,0,0.0,21.1,0,
15:27:42,0,0.0,21.12,1,
15:27:43,1,0.0,21.12,0,
15:27:44,1,0.0,21.12,0,
15:27:45,1,0.0,21.12,0,
15:27:46,1,0.0,21.12,0,
15:27:47,1,0.0,21.12,0,0.3
15:27:48,1,0.0,21.12,0,
15:27:49,1,0.0,21.12,0,
15:27:50,1,0.0,21.12,0,
15:27:51,1,0.0,21.12,0,
15:27:52,1,0.0,21.12,0,
15:27:53,1,0.0,21.12,0,
15:27:54,1,0.0,21.12,0,
15:27:55,1,0.0,21.15,2,
15:27:56,2,0.0,21.15,0,
15:27:57,2,0.0,21.15,0,
15:27:58,2,0.0,21.15,0,
15:27:59,2,0.0,21.15,0,
15:28:00,2,0.0,21.15,0,
15:28:01,2,0.0,21.15,0,
15:28:02,2,0.0,21.15,0,0.42
15:28:03,2,0.0,21.15,0,
15:28:04,2,0.0,21.15,0,
